ubid,canonical_business_name,canonical_address,district,pin_code,business_type,business_category,activity_status,confidence,source_record_count,linked_departments,created_at,last_activity_date,audit_policy,entity_id_ground_truth
KA-BLRU-560037-000001,Omkar Works,"No 16, C Extension, Whitefield, Bengaluru Urban, Karnataka - 560037",Bengaluru Urban,560037,Restaurant / Cafe,Service,DORMANT,67,1,SHOP,2026-05-02,2024-11-10,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00001
KA-BLRU-560068-000002,Vijaya Associates,"No 91, B 3rd Phase, Bommanahalli, Bengaluru Urban, Karnataka - 560068",Bengaluru Urban,560068,Plastic Moulding,Manufacturing,ACTIVE,99,3,FACTORY|GST|UDYAM,2026-05-02,2025-11-05,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00002
KA-BLRR-561203-000003,Veda Devices Works,"No 264, B 1st Cross, Doddaballapura, Bengaluru Rural, Karnataka - 561203",Bengaluru Rural,561203,Electronics Assembly,Manufacturing,DORMANT,89,3,FACTORY|GST|KSPCB,2026-04-26,2025-02-17,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00003
KA-BLRU-560085-000004,Asha Trans LLP,"No 7, B 1st Cross, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Logistics / Warehouse,Service,CLOSED,91,1,GST,2026-04-01,2021-11-19,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00004
KA-BLRU-560059-000005,Sharma Coatings Co,"No 7, Plot Service Road, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,Chemical Blending,Manufacturing,ACTIVE,87,5,GST|KSPCB|LABOUR|SHOP|UDYAM,2026-04-12,2026-01-15,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00005
KA-MYS-570001-000006,Deccan Industries,"No 151, C 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Plastic Moulding,Manufacturing,ACTIVE,99,6,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,2026-04-03,2025-08-16,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00006
KA-BLRU-560102-000007,Sree Logistics Pvt Ltd,"No 105, B 2nd Main, HSR Layout, Bengaluru Urban, Karnataka - 560102",Bengaluru Urban,560102,Logistics / Warehouse,Service,ACTIVE,67,1,SHOP,2026-03-07,2026-01-04,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00007
KA-BLRU-560100-000008,Siddhi Cafe Industries,"No 181, A Near Bus Stop, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560100,Restaurant / Cafe,Service,ACTIVE,99,5,BBMP|KSPCB|LABOUR|SHOP|UDYAM,2026-03-10,2025-12-12,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00008
KA-BLRR-562114-000009,Srinidhi Trans Works,"No 284, Shed 1st Cross, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Logistics / Warehouse,Service,ACTIVE,77,3,GST|KSPCB|SHOP,2026-04-13,2025-10-24,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00009
KA-BLRU-560085-000010,Ganesh Dine LLP,"No 149, B Main Road, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,Restaurant / Cafe,Service,ACTIVE,99,4,BBMP|GST|SHOP|UDYAM,2026-04-18,2025-09-20,append_only; raw identifiers hashed; human-review for score 60-84,ENT-00010
