factory_id,name,address,pincode,pan,gstin,contact,licence_status
FC001,Ravi Food Processing Unit,"Peenya Ind Area Plot 12, Bengaluru",560058,AABCR1234F,29AABCR1234F1Z5,9876543200,valid
FC002,Ravi Foods Pvt Ltd Factory,12 Peenya Ind Area Bangalore,560058,AABCR1234F,29AABCR1234F1Z5,08041234500,valid
FC003,Lakshmi Silk Weaving Unit,MG Road Extension Mysuru,570001,AAAFL9999K,29AAAFL9999K1Z1,8212345670,valid
FC004,Kaveri Agro Processing,Hubli Market Road Dharwad Dist,580020,AAAFK1111L,29AAAFK1111L1Z2,8360123400,valid
FC005,Sri Venkateswara Food Products,Nelamangala Ind Area Tumkur Rd,562123,AAABV2222M,29AAABV2222M1Z3,9448012340,valid
FC006,Global Tech Solutions India,Nagavara Manyata,560045,AAAGT3333N,29AAAGT3333N1Z4,9900112230,valid
FC007,Coastal Fisheries Cold Chain,New Mangalore Port Area,575001,AAACF4444P,29AAACF4444P1Z6,8242223300,valid
FC008,Nandi Granite Cutting,IDH Chikkaballapur,562101,AAANG5555Q,29AAANG5555Q1Z7,8150020022,valid
FC009,GreenLeaf Organics Processing,Hennur Bangalore,560043,AAAGL6666R,29AAAGL6666R1Z8,9988776601,valid
FC010,Prakash Motors Assembly,Vijayanagar Ring Road,560040,AAAPM7777S,29AAAPM7777S1Z9,9845011100,valid
FC011,Udupi Krishna Bhavan Central Kitchen,Manipal-Udupi Rd,576101,AAAKU8888T,29AAAKU8888T1ZA,8202501200,valid
FC012,Himalaya Hardware Forging,Shivaji Nagar Ind Layout,560001,AAAHM9999U,29AAAHM9999U1ZB,9886012300,valid
FC013,Sahyadri Coffee Roasters,Chikmagalur Estate Rd,577101,AAASC0001V,29AAASC0001V1ZC,8262223301,valid
FC014,Deccan Logistics Warehouse,Whitefield,560066,AAADL0002W,29AAADL0002W1ZD,9035303000,valid
FC015,Annapoorna Snacks Manufacturing,Davangere Ind Estate,577004,AAAAS0003X,29AAAAS0003X1ZE,8192224401,valid
FC016,Zenith Pharma Formulations,Electronic City,560100,AAAZP0004Y,29AAAZP0004Y1ZF,9844123400,valid
FC017,BlueRiver Textiles Mill,Ramanagara,562159,AAABT0005Z,29AAABT0005Z1ZG,9449011100,valid
FC018,Everest Steel Rolling,Peenya Stage 2,560058,AAAES0006A,29AAAES0006A1ZH,9845088880,valid
FC019,Southern Spices Grinding,Ballari,583101,AAASS0007B,29AAASS0007B1ZI,8392225501,valid
FC020,Metro Cold Chain Plant,Yeshwanthpur Goods Shed,560022,AAAMC0008C,29AAAMC0008C1ZJ,8023456701,valid
FC021,Bright Future Printing Press,Jayanagar,560041,AAABF0009D,29AAABF0009D1ZK,9845099901,valid
FC022,Crystal Glass Tempering,Rajajinagar Ind Estate,560010,AAACG0010E,29AAACG0010E1ZL,9342123400,valid
FC023,Orchid Florists Packaging,Koramangala,560095,AAAOF0011F,29AAAOF0011F1ZM,9886767601,valid
FC024,Completely Different Cement Co,Kalaburagi,585101,AAADC9999J,29AAADC9999J1ZQ,8472221111,valid
FC025,Unrelated Pizza Production,Indiranagar,560038,AAAPZ0012G,29AAAPZ0012G1ZN,9986020200,valid
FC026,Northwind Auto Components,Hebbal Industrial,560024,AAANA0013H,29AAANA0013H1ZO,9845012300,valid
FC027,Silverline Jewellery Casting,Commercial Street,560001,AAASJ0014I,29AAASJ0014I1ZP,8022223390,valid
FC028,Ravi Foods (Alternate GST),Peenya,560058,,,9876543211,suspended
FC029,Lakshmi Silk House Unit-2,Mysuru Outskirts,570001,,29AAAFL9999K1Z1,8212000000,valid
FC030,Kaveri Agro Cold Storage,Hubballi,580020,AAAFK1111L,,8360000000,valid
FC031,S V Bakery Commissary,Nelamangala,562123,,29AAABV2222M1Z3,9448000000,valid
FC032,Global Tech R&D,Nagavara,560045,,29AAAGT3333N1Z4,9900000000,valid
FC033,Coastal Fisheries Canning,Mangalore,575001,AAACF4444P,,8240000000,valid
FC034,Nandi Granite Polishing,Chikkaballapur,562101,,29AAANG5555Q1Z7,8150000000,valid
FC035,GreenLeaf Organics Pack,Hennur,560043,AAAGL6666R,,9988000000,valid
FC036,Prakash Motors Paint Shop,Vijayanagar,560040,,29AAAPM7777S1Z9,9845000000,valid
FC037,Udupi Krishna Bhavan Masala,Udupi,576101,,,8202000000,valid
FC038,Himalaya Hardware Galvanizing,Shivaji Nagar,560001,,29AAAHM9999U1ZB,9886000000,valid
FC039,Sahyadri Coffee Exports,Chikmagalur,577101,AAASC0001V,29AAASC0001V1ZC,8262000000,valid
FC040,Deccan Logistics Fleet,Whitefield,560066,,,9035000000,valid
FC041,Annapoorna Snacks Fryer Line,Davangere,577004,AAAAS0003X,29AAAAS0003X1ZE,8192000000,valid
FC042,Zenith Pharma Blending,Electronic City,560100,AAAZP0004Y,,9844000000,valid
FC043,BlueRiver Textiles Dyeing,Ramanagara,562159,,29AAABT0005Z1ZG,9449000000,valid
FC044,Everest Steel Forging,Peenya,560058,AAAES0006A,29AAAES0006A1ZH,9845000000,valid
FC045,Southern Spices Oil Extract,Ballari,583101,AAASS0007B,,8392000000,valid
FC046,Metro Cold Storage Ice Plant,Yeshwanthpur,560022,,29AAAMC0008C1ZJ,8023000000,valid
FC047,Bright Future Books,Jayanagar,560041,,29AAABF0009D1ZK,9845000001,valid
FC048,Crystal Glass Toughening,Rajajinagar,560010,AAACG0010E,,9342000000,valid
FC049,Orchid Florists Cold Room,Koramangala,560095,,29AAAOF0011F1ZM,9886000000,valid
FC050,Standalone Tyre Retreading,Mandya,571401,AAATY8888K,29AAATY8888K1ZR,8232223333,valid
